exit_date,department,would_recommend,job_satisfaction,management_support,career_development,work_life_balance,compensation,benefits,exit_reason,conduct_concerns,employee_id,tenure_years,position_level,location,comments
2025-06-01,Information Technology,Yes,4,3,2,4,3,4,Career advancement opportunities,No,EMP001,3.5,Senior,Omaha,Looking for growth opportunities
2025-06-05,Human Resources,Yes,3,4,3,3,3,5,Relocation,No,EMP002,2.0,Mid,Omaha,Moving to another state
2025-06-10,School of Medicine,No,2,2,2,3,2,3,Dissatisfied with direct supervisor,Yes,EMP003,1.5,Entry,Omaha,Management issues
2025-06-12,Finance & Administration,Yes,4,4,3,4,4,4,Retirement,No,EMP004,15.0,Senior,Omaha,Planned retirement
2025-06-15,Student Life,Yes,3,3,2,3,3,3,Pursue other career or education,No,EMP005,4.0,Mid,Phoenix,Going back to school
2025-06-18,Athletics,No,2,2,1,2,2,3,Lack of career advancement opportunities,Yes,EMP006,5.0,Senior,Omaha,No promotion path
2025-06-20,School of Nursing,Yes,4,3,3,4,3,4,Personal/family reasons,No,EMP007,3.0,Mid,Phoenix,Family obligations
2025-06-22,University Communications,Yes,3,3,2,3,3,3,Remote/Hybrid option not available,No,EMP008,2.5,Mid,Omaha,Need flexible work
2025-06-25,Library Services,Yes,4,4,3,3,4,4,Other,No,EMP009,6.0,Senior,Omaha,New opportunity
2025-06-28,School of Dentistry,,,,,,,,,,EMP010,4.5,Mid,Omaha,Did not complete survey
2025-06-30,Provost's Office,,,,,,,,,,EMP011,7.0,Senior,Omaha,Did not complete survey
